purchase_order_id,customer_id,amount,order_date
186,3,13696,2015-06-11
187,4,18709,2015-06-07
188,1,20733,2015-06-20
189,2,38473,2015-06-18
190,3,31911,2015-06-16
191,4,6945,2015-06-17
192,2,2067,2015-06-06
193,6,28348,2015-06-04
194,4,12883,2015-06-26
195,2,29987,2015-06-16
196,6,42275,2015-06-11
197,3,25162,2015-06-25
198,4,30344,2015-06-22
199,5,19263,2015-06-20
200,7,39959,2015-06-30
201,1,5864,2015-06-11
202,6,45877,2015-06-21
203,4,21189,2015-06-06
204,7,34217,2015-06-18
205,7,37057,2015-06-26
206,5,39453,2015-06-03
207,3,32750,2015-06-28
208,6,3380,2015-06-21
209,5,1479,2015-06-09
210,7,16435,2015-06-25
211,8,48395,2015-06-10
212,5,39442,2015-06-19
213,1,4038,2015-06-26
214,6,20272,2015-06-21
215,7,38587,2015-06-11
216,8,7828,2015-06-23
217,8,27874,2015-06-05
218,6,7747,2015-06-30
219,2,17818,2015-06-08
220,7,48520,2015-06-08
221,7,36466,2015-06-05
222,6,16933,2015-06-19
223,5,42956,2015-06-17
224,1,1365,2015-06-26
225,9,25772,2015-06-07
226,6,33778,2015-06-28
227,9,5585,2015-06-23
228,8,2347,2015-06-11
229,3,21603,2015-06-05
230,6,37514,2015-06-09
231,8,38311,2015-06-25
232,8,11267,2015-06-23
233,9,31866,2015-06-06
234,8,32992,2015-06-08
235,4,3775,2015-06-18
236,5,28009,2015-06-09
237,6,21211,2015-06-28
238,5,47005,2015-06-04
239,2,1150,2015-06-08
240,7,8820,2015-06-08
241,3,49324,2015-06-15
242,9,2773,2015-06-04
243,9,28053,2015-06-30
244,8,41177,2015-06-18
245,5,39548,2015-06-11
246,1,2346,2015-06-20
247,6,11556,2015-06-19
248,1,44141,2015-06-07
249,2,17886,2015-06-20
250,3,23928,2015-06-24
251,4,44860,2015-06-08
252,7,21516,2015-06-28
253,1,29117,2015-06-18
254,6,36056,2015-06-14
255,9,44912,2015-06-21
256,6,38945,2015-06-20
257,3,25536,2015-06-16
258,9,17372,2015-06-04
259,5,45938,2015-06-12
260,5,2989,2015-06-20
261,3,37755,2015-06-29
262,4,457,2015-06-20
263,6,11606,2015-06-23
264,2,42813,2015-06-09
265,9,35154,2015-06-03
266,1,46180,2015-06-06
267,2,25783,2015-06-18
268,5,38330,2015-06-23
269,6,19643,2015-06-05
270,2,36031,2015-06-25
271,1,33883,2015-06-30
272,4,19629,2015-06-13
273,1,22431,2015-06-06
274,7,36344,2015-06-23
275,4,19015,2015-06-19
276,3,9422,2015-06-14
277,2,7014,2015-06-20
278,1,31724,2015-06-05
279,9,26676,2015-06-08
280,5,45355,2015-06-17
281,2,8351,2015-06-23
282,7,39517,2015-06-26
283,7,3901,2015-06-25
284,4,13748,2015-06-23
285,2,21406,2015-07-01
286,9,39307,2015-06-14
287,9,44866,2015-06-16
288,4,7122,2015-06-19
289,7,10601,2015-06-06
290,3,4748,2015-06-18
291,1,46855,2015-06-22
292,7,47489,2015-06-19
293,2,444,2015-06-12
294,5,24388,2015-06-22
295,3,2548,2015-06-28
296,2,3820,2015-06-14
297,9,22171,2015-06-07
298,6,7239,2015-06-24
299,9,9680,2015-06-06
300,4,47464,2015-06-28
301,1,37288,2015-06-15
302,9,1412,2015-06-05
303,1,38681,2015-06-17
304,6,38889,2015-06-23
305,1,1446,2015-06-27
306,5,12628,2015-06-21
307,4,21039,2015-06-15
308,1,13720,2015-06-26
309,8,9522,2015-06-08
310,1,34035,2015-06-18
311,3,36070,2015-06-05
312,2,1927,2015-06-11
313,4,30533,2015-06-17
314,6,799,2015-06-16
315,5,28894,2015-06-08
316,1,23612,2015-06-09
317,3,11436,2015-06-05
318,1,22018,2015-06-25
319,1,31773,2015-07-01
320,6,38993,2015-06-18
321,3,29136,2015-06-16
322,7,21269,2015-06-25
323,4,42044,2015-06-24
324,4,25407,2015-06-06
325,1,488,2015-06-06
326,5,1706,2015-06-20
327,3,49243,2015-06-08
328,7,48863,2015-06-29
329,4,20265,2015-06-09
330,5,23492,2015-06-28
331,1,23795,2015-06-17
332,1,9534,2015-06-16
333,2,43512,2015-06-18
334,4,15309,2015-06-12
335,6,6061,2015-06-26
336,5,36255,2015-06-10
337,9,7693,2015-06-28
338,6,45536,2015-06-26
339,3,39941,2015-06-10
340,3,49427,2015-06-12
341,8,17981,2015-06-10
342,2,27840,2015-06-24
343,3,4536,2015-06-17
344,7,31570,2015-06-03
345,1,1744,2015-06-08
346,1,42098,2015-06-03
347,3,37524,2015-06-27
348,3,12166,2015-06-16
349,2,41724,2015-06-25
350,9,13061,2015-06-18
351,8,37584,2015-06-25
352,2,19730,2015-06-15
353,3,30954,2015-06-15
354,6,32749,2015-06-06
355,3,38123,2015-06-25
356,3,33218,2015-06-21
357,6,21366,2015-06-05
358,9,3455,2015-06-09
359,7,48326,2015-06-04
360,8,43736,2015-06-07
361,7,10672,2015-06-26
362,3,20627,2015-06-09
363,8,23985,2015-06-12
364,1,13013,2015-07-01
365,5,46475,2015-06-29
366,3,12831,2015-06-20
367,4,43860,2015-06-07
368,2,44620,2015-06-20
369,3,39537,2015-06-19
370,4,31715,2015-06-14
371,3,4513,2015-06-27
372,5,5901,2015-06-29
373,8,44320,2015-06-18
374,5,8335,2015-06-15
375,4,5330,2015-06-17
376,2,7668,2015-06-28
377,3,44272,2015-06-29
378,8,21821,2015-06-08
379,6,3955,2015-06-28
380,9,35262,2015-06-14
381,9,43057,2015-06-25
382,7,41027,2015-06-26
383,3,25113,2015-06-28
384,4,18703,2015-06-25
385,5,442,2015-06-06
386,2,49002,2015-07-01
387,3,19648,2015-06-04
388,3,28920,2015-06-25
389,6,26964,2015-07-01
390,3,12406,2015-06-21
391,6,784,2015-06-20
392,6,45141,2015-06-21
393,3,17449,2015-06-04
394,8,18795,2015-06-07
395,7,26163,2015-06-30
396,1,48318,2015-06-25
397,1,12429,2015-06-18
398,7,37721,2015-06-17
399,4,5675,2015-06-29
400,9,40797,2015-06-14
401,2,46206,2015-06-14
402,4,28627,2015-06-07
403,5,10326,2015-06-09
404,3,20322,2015-06-16
405,7,3436,2015-06-08
406,6,30942,2015-06-23
407,5,6380,2015-06-23
408,3,39761,2015-06-30
409,6,48930,2015-06-15
410,5,47380,2015-06-15
411,9,48840,2015-06-26
412,7,34782,2015-06-27
413,2,8461,2015-06-10
414,7,37537,2015-06-28
415,5,49801,2015-06-28
416,4,33252,2015-07-01
417,5,8701,2015-06-08
418,1,35151,2015-06-05
419,1,28296,2015-06-20
420,6,26767,2015-06-07
421,8,33499,2015-06-04
422,3,39222,2015-07-01
423,9,3024,2015-06-21
424,8,33600,2015-06-15
425,4,30850,2015-07-01
426,8,39803,2015-06-20
427,7,48916,2015-06-14
428,6,45880,2015-06-26
429,8,16615,2015-06-11
430,1,10037,2015-06-09
431,2,25233,2015-06-15
432,5,12502,2015-06-15
433,5,14334,2015-06-05
434,6,6379,2015-06-24
435,5,43908,2015-06-07
436,1,43920,2015-06-07
437,4,22807,2015-06-04
438,4,27811,2015-06-09
439,2,7237,2015-06-30
440,4,2523,2015-06-19
441,5,39096,2015-06-20
442,1,48619,2015-06-07
443,4,31148,2015-06-25
444,3,22485,2015-07-01
445,6,28858,2015-06-25
446,6,33659,2015-06-19
447,5,45336,2015-06-22
448,6,16327,2015-06-28
449,1,3559,2015-06-20
450,7,35281,2015-07-01
451,2,16395,2015-06-23
452,6,16239,2015-06-24
453,5,17282,2015-06-13
454,6,9527,2015-06-15
455,6,31945,2015-06-05
456,8,40719,2015-06-07
457,9,30079,2015-06-25
458,5,26357,2015-06-06
459,3,23201,2015-06-12
460,7,38151,2015-06-23
461,6,20834,2015-06-23
462,1,49502,2015-07-01
463,8,2316,2015-06-08
464,3,45507,2015-06-21
465,1,20719,2015-06-15
466,4,6000,2015-06-14
467,6,12215,2015-06-12
468,3,28818,2015-06-03
469,5,15825,2015-06-30
470,3,6058,2015-06-06
471,2,36700,2015-06-12
472,3,7102,2015-06-09
473,1,30632,2015-06-12
474,6,22012,2015-07-01
475,4,26897,2015-06-12
476,2,23542,2015-06-22
477,2,36774,2015-06-29
478,3,44823,2015-06-05
479,5,16579,2015-06-06
480,7,4433,2015-06-18
481,4,21549,2015-06-17
482,8,20902,2015-06-07
483,7,30948,2015-06-21
484,6,11711,2015-06-20
485,9,47903,2015-06-09
486,4,43653,2015-06-27
487,7,16085,2015-06-20
488,9,10453,2015-06-29
489,9,109,2015-06-06
490,1,7215,2015-06-22
491,7,43611,2015-06-16
492,1,8203,2015-06-26
493,8,4419,2015-06-23
494,3,7234,2015-06-04
495,2,33300,2015-06-29
496,9,43877,2015-06-29
497,1,17682,2015-06-24
498,9,33548,2015-06-21
499,6,45677,2015-06-25
500,7,26502,2015-06-28
501,2,39278,2015-06-20
502,2,42291,2015-06-03
503,3,8063,2015-06-12
504,9,46836,2015-06-24
505,2,19259,2015-06-13
506,2,14867,2015-06-27
507,9,3480,2015-06-08
508,2,28398,2015-06-28
509,6,38097,2015-06-12
510,1,673,2015-06-05
511,4,443,2015-06-26
512,8,43050,2015-06-08
513,7,16258,2015-06-11
514,9,27315,2015-06-12
515,1,19833,2015-06-24
516,8,42510,2015-06-16
517,8,15557,2015-06-28
518,8,37804,2015-06-29
519,7,7430,2015-06-17
520,1,4320,2015-06-30
521,4,17580,2015-06-24
522,9,47210,2015-06-29
523,9,30293,2015-06-04
524,9,30668,2015-06-11
525,9,42446,2015-06-09
526,4,45206,2015-06-17
527,4,19995,2015-06-10
528,8,5668,2015-06-27
529,5,49595,2015-06-03
530,2,46991,2015-06-18
531,8,42431,2015-06-26
532,6,21031,2015-06-10
533,4,2340,2015-06-22
534,7,18663,2015-06-03
535,6,35165,2015-06-18
536,4,35633,2015-07-01
537,9,21508,2015-06-16
538,2,31069,2015-06-17
539,3,35016,2015-06-30
540,3,44134,2015-06-27
541,5,2971,2015-06-20
542,8,16374,2015-06-22
543,5,27515,2015-06-12
544,7,39751,2015-06-06
545,3,3558,2015-06-12
546,1,20874,2015-06-07
547,5,38678,2015-06-15
548,1,24837,2015-06-11
549,6,13435,2015-06-23
550,3,4384,2015-06-22
551,1,38931,2015-06-15
552,9,36552,2015-06-08
553,1,26320,2015-06-14
554,1,6360,2015-06-28
555,9,25074,2015-06-11
556,6,31594,2015-06-05
557,3,46888,2015-06-29
558,1,20199,2015-06-11
559,9,16342,2015-06-16
560,7,30563,2015-06-27
561,7,4777,2015-06-12
562,4,36770,2015-06-20
563,8,4243,2015-06-30
564,2,12562,2015-06-26
565,6,43357,2015-06-06
566,4,27250,2015-06-12
567,2,47172,2015-06-25
568,4,40769,2015-06-22
569,4,18910,2015-06-03
570,2,25181,2015-06-12
571,1,9990,2015-06-24
572,3,41898,2015-06-15
573,2,46997,2015-06-26
574,5,29291,2015-06-11
575,1,33284,2015-06-26
576,4,29061,2015-06-16
577,8,21401,2015-06-14
578,8,3496,2015-06-26
579,9,19893,2015-06-10
580,8,17776,2015-06-12
581,6,39892,2015-06-26
582,6,13246,2015-06-06
583,8,42083,2015-06-22
584,7,24255,2015-06-14
585,6,21337,2015-06-25
586,9,25544,2015-06-08
587,3,10744,2015-06-16
588,4,469,2015-07-01
589,2,5232,2015-06-17
590,2,7599,2015-06-11
591,4,49338,2015-06-22
592,2,43157,2015-06-26
593,2,29128,2015-06-27
594,1,40469,2015-06-19
595,6,13177,2015-06-24
596,8,18434,2015-07-01
597,9,27381,2015-06-06
598,8,10072,2015-06-20
599,9,23217,2015-06-11
600,5,14394,2015-06-24
601,5,23477,2015-06-20
602,2,17030,2015-06-27
603,5,11164,2015-06-15
604,8,14812,2015-06-11
605,6,28887,2015-06-06
606,5,809,2015-06-07
607,5,44685,2015-06-27
608,9,41010,2015-06-27
609,8,15366,2015-06-10
610,6,12103,2015-06-06
611,5,26683,2015-06-26
612,8,18198,2015-06-27
613,9,29765,2015-06-28
614,9,30870,2015-07-01
615,5,43305,2015-06-04
616,4,9683,2015-06-21
617,5,1522,2015-06-19
618,7,23339,2015-07-01
619,5,36487,2015-06-19
620,3,49231,2015-06-30
621,4,10181,2015-06-13
622,2,48065,2015-06-17
623,7,8341,2015-06-07
624,9,47060,2015-06-06
625,4,7566,2015-06-14
626,2,48795,2015-06-07
627,6,6477,2015-06-09
628,5,17428,2015-06-21
629,8,6991,2015-06-18
630,5,5170,2015-06-06
631,8,22707,2015-06-27
632,6,25899,2015-06-04
633,7,22145,2015-06-09
634,5,4284,2015-06-25
635,5,13278,2015-06-24
636,8,40387,2015-06-22
637,2,15955,2015-06-13
638,4,1797,2015-06-23
639,4,5991,2015-06-17
640,6,1998,2015-06-04
641,6,29713,2015-07-01
642,2,10592,2015-06-28
643,7,11200,2015-06-14
644,5,46569,2015-06-11
645,7,24981,2015-06-27
646,3,49163,2015-06-28
647,2,42517,2015-06-15
648,3,41755,2015-06-30
649,6,30169,2015-06-06
650,2,28848,2015-06-19
651,6,31141,2015-06-21
652,7,20754,2015-06-27
653,2,40910,2015-06-22
654,4,18457,2015-06-18
655,7,4699,2015-06-17
656,6,43628,2015-06-17
657,4,18382,2015-06-22
658,8,6387,2015-06-15
659,3,44138,2015-06-17
660,8,46294,2015-06-06
661,1,13395,2015-06-28
662,7,22199,2015-06-21
663,1,32861,2015-06-09
664,1,25578,2015-06-07
665,1,4472,2015-06-28
666,7,31750,2015-06-16
667,1,49529,2015-07-01
668,2,47394,2015-06-16
669,4,44755,2015-06-15
670,5,4133,2015-06-25
671,6,9750,2015-06-20
672,9,33678,2015-06-18
673,1,24810,2015-06-29
674,7,32810,2015-06-22
675,1,13612,2015-06-05
676,8,39364,2015-06-26
677,4,30838,2015-06-12
678,7,16644,2015-06-22
679,9,567,2015-07-01
680,9,34078,2015-06-17
681,4,36101,2015-06-24
682,7,49522,2015-06-03
683,2,25655,2015-06-06
684,2,6121,2015-06-21
685,8,4509,2015-06-21
686,8,5526,2015-06-08
687,3,26240,2015-06-28
688,8,10181,2015-06-25
689,5,36060,2015-06-21
690,8,37203,2015-06-11
691,2,19107,2015-06-28
692,8,18698,2015-06-22
693,8,2541,2015-06-16
694,9,13481,2015-06-16
695,8,10174,2015-06-15
696,8,15375,2015-06-04
697,8,42768,2015-06-16
698,1,6851,2015-06-06
699,1,22657,2015-06-24
700,6,12545,2015-06-09
701,2,33908,2015-06-22
702,1,9434,2015-06-06
703,1,18520,2015-06-28
704,4,39532,2015-06-26
705,9,48774,2015-06-26
706,3,10548,2015-06-11
707,9,797,2015-06-20
708,4,28862,2015-06-04
709,5,34735,2015-06-29
710,2,4762,2015-06-05
711,5,935,2015-06-19
712,9,17593,2015-06-21
713,4,40557,2015-06-24
714,3,48090,2015-06-25
715,1,48082,2015-06-12
716,1,452,2015-06-11
717,6,47003,2015-06-16
718,8,36901,2015-06-03
719,7,36833,2015-06-13
720,9,45943,2015-06-30
721,7,14013,2015-06-23
722,4,22397,2015-06-27
723,7,19563,2015-06-04
724,4,35337,2015-06-05
725,9,19520,2015-06-17
726,6,7334,2015-06-26
727,7,16310,2015-06-09
728,4,4280,2015-06-05
729,1,6,2015-06-23
730,1,10100,2015-06-15
731,8,33102,2015-06-12
732,6,41027,2015-06-12
733,9,45886,2015-06-19
734,8,20066,2015-06-22
735,8,45509,2015-06-08
736,8,5725,2015-06-03
737,3,9564,2015-06-30
738,6,31057,2015-06-15
739,1,36431,2015-06-29
740,4,16082,2015-06-21
741,6,22808,2015-06-10
742,5,32649,2015-06-29
743,7,23567,2015-06-18
744,3,15699,2015-06-16
745,2,38024,2015-06-05
746,4,45951,2015-06-27
747,1,43382,2015-06-12
748,4,40703,2015-06-28
749,6,3766,2015-06-26
750,5,41135,2015-06-08
751,1,14400,2015-06-21
752,2,36613,2015-06-21
753,1,3714,2015-06-29
754,8,639,2015-06-07
755,5,620,2015-06-04
756,2,5238,2015-07-01
757,5,7166,2015-06-11
758,7,8824,2015-06-20
759,4,7656,2015-06-18
760,3,8708,2015-06-28
761,6,342,2015-07-01
762,6,12999,2015-06-05
763,3,45261,2015-06-28
764,9,36613,2015-06-03
765,4,38496,2015-06-13
766,4,32021,2015-06-12
767,4,37808,2015-06-27
768,8,2505,2015-06-19
769,9,20724,2015-06-09
770,4,15522,2015-06-28
771,5,35520,2015-06-29
772,2,39287,2015-06-09
773,2,3058,2015-06-15
774,9,22714,2015-06-27
775,4,7058,2015-06-25
776,9,42156,2015-06-07
777,7,36395,2015-06-25
778,9,49591,2015-06-07
779,3,26941,2015-06-16
780,7,45722,2015-06-20
781,3,33243,2015-06-21
782,2,19433,2015-06-05
783,7,8515,2015-06-04
784,6,17062,2015-06-08
785,2,20415,2015-06-12
786,1,40723,2015-06-29
787,9,34701,2015-06-03
788,8,464,2015-07-01
789,5,13574,2015-06-06
790,8,40348,2015-06-16
791,6,44592,2015-06-11
792,2,19049,2015-06-10
793,8,19911,2015-06-08
794,9,32689,2015-06-22
795,5,43677,2015-06-06
796,6,38140,2015-06-30
797,8,23043,2015-06-16
798,1,37404,2015-06-06
799,5,25521,2015-07-01
800,5,45,2015-06-19
801,5,20338,2015-06-12
802,4,34785,2015-06-17
803,5,3545,2015-06-14
804,8,26262,2015-06-12
805,6,17634,2015-06-24
806,3,2947,2015-06-05
807,2,7784,2015-06-23
808,4,3882,2015-06-12
809,7,28740,2015-06-14
810,4,14029,2015-06-03
811,5,4114,2015-06-23
812,7,9192,2015-06-12
813,8,45668,2015-06-25
814,5,45469,2015-06-29
815,6,28136,2015-06-05
816,4,11730,2015-06-20
817,8,7887,2015-06-04
818,1,13436,2015-06-21
819,4,41024,2015-06-12
820,4,9628,2015-07-01
821,2,44971,2015-06-07
822,5,32331,2015-06-22
823,7,22805,2015-06-23
824,7,27687,2015-06-10
825,5,1439,2015-06-11
826,7,42935,2015-06-21
827,9,29968,2015-06-23
828,7,17268,2015-06-04
829,5,14905,2015-06-06
830,6,40584,2015-06-29
831,1,25251,2015-06-11
832,8,16373,2015-06-27
833,2,26270,2015-06-03
834,8,5954,2015-06-12
835,8,22373,2015-06-23
836,3,15006,2015-06-26
837,3,29675,2015-06-19
838,2,862,2015-06-28
839,3,1682,2015-07-01
840,3,23177,2015-06-11
841,8,6583,2015-06-06
842,2,34613,2015-06-26
843,2,8443,2015-06-10
844,2,16363,2015-06-16
845,8,23352,2015-06-24
846,3,24770,2015-06-06
847,7,46365,2015-06-24
848,2,48298,2015-06-15
849,4,1294,2015-07-01
850,3,40147,2015-06-16
851,8,8210,2015-06-13
852,1,10440,2015-06-25
853,4,27965,2015-06-26
854,6,42610,2015-06-22
855,5,19340,2015-06-20
856,8,18599,2015-06-21
857,5,39697,2015-06-11
858,7,37862,2015-06-08
859,3,29469,2015-06-14
860,8,43296,2015-06-28
861,1,26866,2015-06-27
862,2,16644,2015-06-29
863,5,6955,2015-06-24
864,4,31148,2015-06-03
865,4,43039,2015-06-06
866,8,40916,2015-06-26
867,9,36127,2015-06-18
868,7,18989,2015-06-25
869,3,28583,2015-06-11
870,3,18421,2015-06-06
871,1,28268,2015-06-25
872,8,13825,2015-06-06
873,3,26637,2015-06-26
874,4,19990,2015-06-05
875,1,33602,2015-06-16
876,2,4385,2015-06-11
877,1,14463,2015-06-03
878,1,28074,2015-06-05
879,1,24677,2015-06-14
880,4,44688,2015-07-01
881,1,26075,2015-06-05
882,9,27552,2015-06-28
883,7,5967,2015-07-01
884,1,22353,2015-06-04
885,4,35071,2015-06-16
886,8,9169,2015-06-25
887,2,18116,2015-06-18
888,7,31315,2015-06-30
889,9,47527,2015-06-05
890,9,20695,2015-06-10
891,8,29386,2015-06-13
892,1,22443,2015-06-28
893,1,28880,2015-06-23
894,8,35250,2015-06-15
895,7,19656,2015-06-03
896,4,1480,2015-06-03
897,3,24593,2015-06-24
898,4,13100,2015-06-15
899,5,39241,2015-06-24
900,3,25574,2015-06-11
901,4,41226,2015-06-13
902,5,49618,2015-06-14
903,2,35891,2015-06-17
904,6,9589,2015-06-16
905,7,18566,2015-06-20
906,9,3358,2015-06-18
907,2,9260,2015-06-11
908,8,8755,2015-06-30
909,8,37677,2015-06-25
910,8,44759,2015-06-13
911,3,39210,2015-06-09
912,3,19155,2015-06-08
913,5,4805,2015-06-26
914,6,29544,2015-06-03
915,1,13939,2015-06-23
916,5,42500,2015-06-13
917,4,6981,2015-06-12
918,3,33121,2015-06-22
919,2,36454,2015-06-16
920,4,33727,2015-06-03
921,6,7745,2015-06-08
922,1,47204,2015-06-17
923,5,5722,2015-06-22
924,3,27249,2015-06-08
925,3,17779,2015-06-20
926,1,49489,2015-06-04
927,8,24857,2015-06-30
928,4,9511,2015-06-07
929,1,3999,2015-06-30
930,2,29864,2015-06-22
931,6,44427,2015-06-10
932,7,30114,2015-06-15
933,1,7788,2015-06-03
934,4,34405,2015-06-08
935,6,2991,2015-06-17
936,3,1008,2015-06-29
937,5,15659,2015-06-17
938,9,8586,2015-06-06
939,9,10901,2015-06-16
940,1,17766,2015-06-25
941,9,7335,2015-06-28
942,8,44937,2015-06-23
943,8,44665,2015-06-17
944,1,14507,2015-06-15
945,1,22233,2015-07-01
946,7,602,2015-06-25
947,4,41835,2015-06-08
948,6,41428,2015-06-11
949,7,2936,2015-06-03
950,7,9574,2015-06-11
951,7,38605,2015-06-10
952,9,28267,2015-06-27
953,3,37538,2015-06-14
954,9,31508,2015-06-03
955,4,37956,2015-06-16
956,3,16130,2015-06-24
957,6,21636,2015-07-01
958,4,43415,2015-06-30
959,2,19020,2015-06-27
960,5,23733,2015-06-24
961,9,3179,2015-06-30
962,6,25441,2015-06-15
963,8,49421,2015-06-21
964,3,17323,2015-06-14
965,8,7658,2015-06-08
966,6,47026,2015-06-18
967,6,32228,2015-06-11
968,3,22564,2015-06-16
969,7,21112,2015-06-28
970,2,23013,2015-06-20
971,7,12997,2015-06-12
972,4,19289,2015-06-13
973,8,17365,2015-06-20
974,7,33121,2015-06-13
975,1,23975,2015-06-14
976,4,10060,2015-06-11
977,8,44254,2015-06-22
978,4,1587,2015-06-12
979,1,2053,2015-06-28
980,4,47483,2015-06-05
981,6,13662,2015-06-23
982,2,45810,2015-06-30
983,5,17006,2015-06-12
984,3,41099,2015-06-09
985,2,11626,2015-06-05
986,7,36524,2015-06-27
987,6,19370,2015-06-17
988,4,20760,2015-07-01
989,2,27025,2015-06-19
990,1,11308,2015-06-30
991,4,24695,2015-06-24
992,7,10100,2015-06-16
993,8,45741,2015-06-04
994,8,6608,2015-06-29
995,5,16686,2015-06-30
996,3,12136,2015-06-29
997,1,30441,2015-06-08
998,1,21249,2015-06-16
999,5,4440,2015-06-05
